2113 2329 1191 473 155 346 708 245 | 1579 444 1433 2178 1469 1818 47 1258 | 2039 732 475 772 1106 1464 1639 91 | 589 378 26 2154 139 2249 762 1692 | 519 962 739 352 1236 277 38 780 | 2020 1094 1981 2109 2066 73 2207 895 | 1280 1674 1741 878 1456 1817 1724 1218 | 1850 311 2235 5 1110 674 1516 1198 | 983 1638 251 1175 2279 1687 1827 323 | 2300 2148 2114 1753 101 1424 263 258 | 1610 476 1646 456 1868 2205 1205 1881 | 1580 1788 90 2381 851 1447 995 100 | 1373 65 656 64 1715 1766 1076 1776 | 1294 2120 900 1199 1760 109 535 1581 | 573 1793 449 1800 580 971 1531 1477 | 2080 1212 839 2048 1734 1713 1476 1379 | 80 11 2110 881 1332 1862 792 1801 | 1492 1084 1552 779 1062 427 1989 2003 | 1426 209 79 1382 902 1710 1380 2252 | 540 104 1466 1244 62 2026 1240 1144 
2105 1147 1860 1859 221 1488 2294 876 | 1703 1609 253 190 1063 1599 1688 1632 | 2203 2053 1946 727 972 1588 1360 1649 | 2348 806 2158 940 214 10 299 35 | 303 1743 1115 636 588 1043 1209 1461 | 726 1672 270 1347 2209 1596 2228 560 | 342 1304 183 843 2291 154 2396 485 | 836 607 1168 1957 1083 787 1325 799 | 508 436 1562 861 1432 185 51 1879 | 554 1918 515 467 635 2165 150 370 | 1074 1071 16 1010 2070 858 1794 579 | 1506 829 1151 1872 2230 366 2191 1109 | 203 1003 601 889 659 788 701 124 | 615 1342 672 651 244 130 297 2023 | 1136 2315 557 2171 744 679 1079 1036 | 159 915 1857 793 1453 1772 2008 287 | 667 14 1132 1391 1383 879 2104 1123 | 1594 847 1820 707 33 2389 302 477 | 220 1542 1910 1855 114 22 196 191 | 908 937 314 1807 187 1770 1620 518 
1740 1737 1261 735 386 54 1481 2184 | 103 204 683 1229 1618 1251 507 1155 | 1349 628 1662 1993 935 823 120 860 | 354 85 327 1792 361 1995 59 2395 | 479 1929 1664 266 1681 1292 948 1804 | 660 2079 721 324 1988 1336 1680 550 | 678 999 243 2143 574 294 936 1437 | 373 2199 1780 1228 380 1534 493 1529 | 1902 1363 3 1834 333 1611 1652 863 | 2319 140 2283 1376 521 632 1331 419 | 137 1697 402 1242 1848 2399 979 1905 | 1358 1521 411 2018 1328 1996 1444 2210 | 453 1573 1933 2180 2183 599 970 530 | 461 633 1213 1513 1816 321 332 714 | 1313 1926 893 2245 1604 1000 1282 2365 | 770 1536 1893 761 1281 184 396 330 | 340 1201 1361 2195 2149 426 1799 1949 | 2334 1797 328 2041 365 798 228 1375 | 1967 178 804 202 27 409 2036 951 | 472 483 620 1078 1634 2213 2160 1835 
1725 2192 686 1547 1630 734 2103 87 | 1704 1970 575 1164 800 2376 2247 1173 | 496 7 594 1316 670 223 2323 134 | 1402 1508 438 1731 69 602 2038 2286 | 966 2233 1206 647 1465 1181 1939 200 | 1802 1395 1103 552 2258 384 2307 412 | 722 655 516 2014 451 1286 874 2202 | 428 1386 285 1903 1475 1564 462 141 | 1215 1852 1640 492 548 1532 1356 498 | 1612 166 612 133 930 2216 1846 1222 | 126 84 562 563 132 423 306 446 | 2211 2239 844 848 1812 967 538 434 | 125 1359 578 1448 1569 2125 2047 1971 | 474 807 1752 1984 435 2305 794 394 | 2130 242 454 990 2011 1197 490 558 | 928 2084 495 603 2097 431 1608 1257 | 1024 541 2076 808 1478 592 1350 372 | 985 892 1700 2135 832 455 2241 1418 | 712 958 1111 2309 2187 586 433 1866 | 523 316 1863 2179 1287 1474 1001 2062 
1333 197 1679 2123 2087 1092 1149 704 | 280 240 344 1751 1739 2045 841 1961 | 1309 267 1412 2081 2198 1246 1511 2267 | 814 71 2054 997 1059 669 924 1497 | 88 1498 1403 225 1998 1811 2255 1838 | 430 845 803 2254 1983 927 1670 1539 | 310 390 320 695 898 524 31 555 | 859 1950 1399 1824 252 525 1540 1138 | 1899 1707 1590 219 583 709 1398 1326 | 2303 849 30 1768 671 1152 974 680 | 376 595 1861 598 619 960 891 697 | 1097 1352 211 369 167 733 2330 616 | 417 1982 212 687 425 512 1719 1729 | 1714 1419 1518 842 1056 1856 758 2166 | 752 345 745 673 136 2320 1750 1017 | 1340 298 2128 401 1247 1557 766 230 | 768 2093 2351 1183 2096 2391 1440 2248 | 440 283 1254 2316 694 2276 81 911 | 822 777 2227 932 2349 826 1351 2359 | 1449 379 1232 1677 2251 1416 1937 1567 
422 2264 1169 1417 1997 838 1048 652 | 850 610 1892 2051 2067 1665 1897 1128 | 2131 1127 1975 920 1663 2025 1842 186 | 1245 1193 1757 1080 192 818 1575 1362 | 247 1755 29 1252 1014 180 901 256 | 797 1685 887 1148 692 1270 846 2374 | 1221 2344 625 1133 1840 871 1925 1311 | 1207 2071 533 1223 349 1211 222 994 | 336 1600 1491 94 884 1758 2136 976 | 343 1443 1676 1666 817 1150 717 129 | 949 1781 1553 531 367 916 2102 177 | 1655 596 2129 929 590 389 1711 358 | 67 865 116 1504 2250 894 723 952 | 1556 448 945 880 2398 978 2010 1344 | 179 276 746 2055 145 484 262 1966 | 371 2091 1878 2308 441 478 517 941 | 622 505 581 921 944 1353 1277 231 | 532 864 923 2237 1691 700 210 715 | 2310 813 2189 1434 1131 2065 1077 144 | 1321 1329 1408 867 630 2217 1134 1809 
408 1019 2281 1081 482 2231 1686 2234 | 1577 2317 2052 415 1613 1065 1656 2387 | 986 2242 1616 989 1689 400 1297 1238 | 597 781 1005 1365 1239 676 2181 1335 | 1357 1337 55 503 649 102 1176 1940 | 2150 2342 198 13 675 1708 391 2377 | 1008 399 973 705 866 504 437 784 | 1791 1484 2188 968 300 2256 1462 1023 | 2073 2094 870 60 1117 1499 413 246 | 1187 1086 1787 172 1736 171 105 1625 | 1964 1129 564 1786 72 2127 1585 982 | 325 2157 350 1058 2271 1052 1617 1559 | 872 1018 1035 2141 1060 1479 1186 1021 | 117 1022 1493 905 1068 1112 1141 305 | 1263 1073 2124 1366 946 1924 1763 1867 | 816 1623 716 1421 404 643 395 1087 | 1088 1370 2280 442 2155 1560 1033 1341 | 513 232 1069 528 296 135 63 42 | 1683 1411 1805 2292 947 1958 975 964 | 609 1113 1602 1771 750 1917 83 1119 
2222 1934 1651 1628 363 1660 468 1955 | 1401 2275 1210 840 1324 868 2152 2219 | 775 1096 703 292 1140 1226 1006 1161 | 1089 2144 1253 1765 1615 1796 2347 1116 | 1431 2326 157 351 1237 1578 1533 696 | 2375 1614 1928 1178 1306 1549 1673 1044 | 1234 160 2379 1171 237 1101 2059 805 | 2229 1904 1009 2224 873 19 2151 1571 | 61 1190 815 279 886 2220 151 1264 | 1830 1318 450 1754 2146 757 1039 1849 | 2397 201 514 1203 1895 1406 903 250 | 1721 2167 0 1139 99 1762 1179 1764 | 1923 317 1637 1972 226 2325 1381 2383 | 2140 1305 2262 1887 1298 1271 731 1459 | 730 611 1470 1156 1184 1011 218 1952 | 2214 2134 293 767 1435 1487 1584 208 | 2122 748 1778 77 2197 1224 760 1046 | 1441 1296 600 543 1260 2035 1854 2287 | 2368 1986 749 571 1268 1668 1230 1806 | 1285 2172 954 1726 1911 1082 1278 1837 
1458 2336 353 249 123 1314 1658 206 | 1121 534 403 747 572 2005 2186 1262 | 161 1177 1012 725 1214 393 2019 335 | 1956 1512 1423 2306 1308 1624 764 1031 | 1876 882 1317 1495 2384 443 1873 1877 | 2327 2354 364 1072 2042 2298 241 1629 | 1053 658 987 92 465 545 1455 368 | 1749 639 1526 1890 282 877 663 347 | 2012 1914 857 1385 2009 1595 1875 810 | 1405 2069 149 907 1619 2030 348 337 | 2028 1626 984 168 1364 491 2169 1367 | 383 501 1301 1414 1921 1977 825 942 | 2170 40 1346 1233 96 2043 664 623 | 2142 1420 1457 1633 1853 39 1496 6 | 1999 2293 1698 2086 1870 9 1374 963 | 1289 236 158 2338 2190 1841 1436 148 | 2372 950 2386 1250 392 1822 606 724 | 1157 684 2 57 216 1520 2302 569 | 2068 255 1454 753 469 1669 785 1912 | 1517 15 1486 1987 568 447 1327 1390 
2265 1906 1442 1293 1153 12 2225 131 | 1355 1204 414 315 1712 2156 2089 939 | 1348 2382 487 1227 1913 1631 2163 1174 | 795 2346 956 1045 138 1919 1836 1593 | 1769 1730 458 1527 2321 463 756 1107 | 621 1028 529 690 1525 1535 1810 1622 | 1413 1279 1587 1220 737 1833 706 1661 | 2353 2021 1748 510 790 17 1607 1122 | 1761 641 1485 1180 207 1574 1034 890 | 2099 2285 387 1944 1537 1095 618 1690 | 1026 2017 2162 112 1784 1310 751 1135 | 783 2259 374 1565 1040 2364 452 2297 | 1165 1603 1146 1047 1055 953 224 264 | 1960 273 549 381 1974 1825 1276 918 | 2013 511 1067 176 111 1145 2049 1427 | 118 355 1394 1054 1545 174 499 771 | 1561 2133 2244 2268 1273 1844 288 875 | 1104 1874 688 2101 1747 2032 520 961 | 1002 642 1091 2322 56 1483 2138 1114 | 1159 888 2159 445 1538 43 1522 1452 
