208 282 288 83 795 259 719 462 952 528 | 360 6 566 580 670 771 960 534 548 757 | 289 978 789 461 114 805 820 713 477 600 | 709 365 937 792 640 13 868 919 12 172 | 158 261 899 419 887 989 135 750 131 688 | 628 515 817 188 132 338 785 944 753 374 | 163 61 650 448 349 128 275 495 662 35 | 551 510 729 313 400 173 228 353 678 971 | 248 848 186 902 199 976 500 469 393 942 | 576 48 964 285 317 938 306 526 367 243
401 726 351 911 689 141 873 842 205 212 | 664 151 69 427 988 691 179 390 202 723 | 315 376 88 286 292 144 182 418 926 838 | 295 387 86 24 101 99 442 159 148 615 | 78 494 476 617 891 591 170 659 160 982 | 561 867 414 155 23 527 724 278 464 26 | 506 355 675 939 741 270 320 122 822 586 | 783 644 44 417 7 96 221 810 187 43 | 45 407 963 486 112 398 827 631 821 700 | 918 746 234 711 570 851 694 467 720 64
699 639 14 565 503 676 293 441 533 118 | 953 79 744 357 758 766 927 193 765 573 | 907 658 824 655 608 402 445 384 244 60 | 647 443 642 291 717 347 730 123 967 777 | 517 411 816 39 896 63 549 97 28 599 | 866 936 277 449 119 271 157 665 453 451 | 546 58 219 81 133 738 110 812 447 152 | 995 673 47 681 545 602 82 972 416 648 | 613 56 70 597 986 912 298 889 98 178 | 585 981 763 641 779 921 739 499 3 616
249 828 764 181 482 392 232 52 413 460 | 984 607 129 572 391 955 872 140 330 372 | 358 715 324 620 382 636 472 321 246 435 | 836 162 303 869 830 839 436 776 410 224 | 389 337 366 145 736 126 535 154 794 196 | 525 5 30 806 904 340 352 886 36 250 | 283 845 105 255 782 247 970 371 89 77 | 253 913 874 54 457 553 958 698 284 924 | 383 956 908 823 513 1000 364 406 885 18 | 630 871 84 16 584 388 840 997 496 542
558 405 703 450 895 619 175 581 852 263 | 166 624 38 979 57 171 334 861 257 209 | 430 609 826 4 922 875 15 260 412 554 | 772 49 345 841 858 511 409 480 290 633 | 41 761 434 786 92 593 471 931 532 590 | 706 174 932 195 832 484 156 11 217 682 | 893 339 273 847 637 605 516 333 696 134 | 808 537 329 959 354 998 336 266 242 167 | 773 362 93 734 236 947 307 21 251 809 | 781 577 787 596 316 62 884 961 66 433
813 130 194 725 740 192 432 107 422 215 | 310 474 276 322 311 124 325 328 214 578 | 359 168 136 564 169 465 200 262 751 463 | 903 770 864 708 962 833 745 983 818 446 | 327 201 815 428 149 622 801 485 524 481 | 386 426 10 138 567 498 672 951 965 737 | 710 331 668 146 521 557 304 280 346 361 | 53 916 846 258 843 559 95 778 22 296 | 925 853 491 104 654 690 20 109 256 598 | 161 137 829 125 335 718 323 332 230 594
870 397 373 799 454 399 974 834 241 363 | 910 424 604 862 492 999 87 218 204 754 | 712 164 731 90 531 996 213 68 977 301 | 470 142 475 50 176 814 588 536 343 732 | 679 768 879 504 943 540 538 930 191 459 | 252 394 819 300 111 796 653 811 948 760 | 651 831 267 370 493 674 749 975 556 854 | 705 483 890 344 660 294 656 714 882 268 | 507 423 403 522 784 803 980 669 929 652 | 211 555 791 790 40 240 281 237 2 704
569 685 183 762 233 973 497 835 748 71 | 800 32 420 742 914 957 94 623 165 220 | 992 466 568 686 985 627 954 575 775 807 | 701 897 663 185 222 878 915 106 468 229 | 245 793 512 395 100 239 898 488 80 408 | 378 892 759 693 438 618 550 780 728 856 | 529 909 17 990 928 541 34 197 579 635 | 116 421 429 945 444 601 27 657 680 850 | 473 752 74 837 46 207 308 264 677 42 | 969 348 25 716 379 272 216 968 994 319
153 539 632 269 180 519 702 923 629 431 | 203 797 883 993 55 589 966 683 901 917 | 437 530 595 802 356 603 279 612 59 478 | 479 37 73 458 855 102 571 941 113 404 | 721 508 396 381 798 501 51 425 143 117 | 707 350 684 318 150 326 687 774 287 788 | 606 121 265 177 305 103 19 560 574 610 | 75 804 115 85 592 9 920 490 231 991 | 563 860 755 733 341 695 743 543 440 625 | 643 72 226 881 369 514 735 552 206 127
254 487 544 756 859 489 877 309 227 587 | 342 697 120 375 184 933 225 147 876 455 | 667 235 76 439 33 888 582 906 562 905 | 108 692 940 314 614 502 626 934 825 520 | 645 377 722 139 865 368 380 767 935 611 | 857 849 65 67 274 880 456 894 1 727 | 634 661 518 415 649 297 91 31 671 747 | 505 666 189 312 844 583 987 210 638 302 | 198 949 863 946 547 190 621 646 385 452 | 950 29 900 523 8 299 238 769 509 223
